plantsym,plantsciname,plantcomname,forestunprod,rangeprod,cokey,coeplantskey
BOCU,Bouteloua curtipendula,sideoats grama,NA,NA,15697380,67422845
BOGR2,Bouteloua gracilis,blue grama,NA,NA,15697380,67422846
HECOC8,Hesperostipa comata ssp. comata,needleandthread,NA,NA,15697380,67422847
BLTR,Blepharoneuron tricholepis,pine dropseed,10,NA,15697380,67422848
CEMO2,Cercocarpus montanus,true mountain mahogany,10,NA,15697380,67422849
FEAR2,Festuca arizonica,Arizona fescue,10,NA,15697380,67422850
KOMA,Koeleria macrantha,prairie Junegrass,5,NA,15697380,67422851
MUMO,Muhlenbergia montana,mountain muhly,15,NA,15697380,67422852
QUGA,Quercus gambelii,Gambel oak,10,NA,15697380,67422853
PASM,Pascopyrum smithii,western wheatgrass,NA,NA,15697380,67422854
CAREX,Carex,sedge,10,NA,15697381,67422855
CERCO,Cercocarpus,mountain mahogany,15,NA,15697381,67422856
QUGA,Quercus gambelii,Gambel oak,10,NA,15697381,67422857
CAREX,Carex,sedge,10,NA,15697372,67422819
CERCO,Cercocarpus,mountain mahogany,15,NA,15697372,67422820
QUGA,Quercus gambelii,Gambel oak,10,NA,15697372,67422821
CAREX,Carex,sedge,10,NA,15697373,67422822
CERCO,Cercocarpus,mountain mahogany,15,NA,15697373,67422823
QUGA,Quercus gambelii,Gambel oak,10,NA,15697373,67422824
AGROP2,Agropyron,wheatgrass,10,NA,15697397,67422918
MARE11,Mahonia repens,Oregongrape,5,NA,15697397,67422919
CAREX,Carex,sedge,10,NA,15697397,67422920
CERCO,Cercocarpus,mountain mahogany,15,NA,15697397,67422921
FESTU,Festuca,fescue,10,NA,15697397,67422922
SYMPH,Symphoricarpos,snowberry,5,NA,15697397,67422923
ARFR4,Artemisia frigida,prairie sagewort,2,NA,15697399,67422924
BOGR2,Bouteloua gracilis,blue grama,15,NA,15697399,67422925
CERCO,Cercocarpus,mountain mahogany,15,NA,15697399,67422926
ELELE,Elymus elymoides ssp. elymoides,bottlebrush squirreltail,5,NA,15697399,67422927
ACSC11,Achnatherum scribneri,Scribner needlegrass,25,NA,15697399,67422928
SYMPH,Symphoricarpos,snowberry,5,NA,15697399,67422929
MARE11,Mahonia repens,Oregongrape,NA,NA,15697399,67422930
YUCCA,Yucca,yucca,NA,NA,15697399,67422931
ARUV,Arctostaphylos uva-ursi,kinnikinnick,5,NA,15697400,67422932
MARE11,Mahonia repens,Oregongrape,5,NA,15697400,67422933
CAREX,Carex,sedge,10,NA,15697400,67422934
JUCO6,Juniperus communis,common juniper,10,NA,15697400,67422935
POA,Poa,bluegrass,10,NA,15697400,67422936
SYMPH,Symphoricarpos,snowberry,5,NA,15697400,67422937
BLTR,Blepharoneuron tricholepis,pine dropseed,10,NA,15697452,67423183
CEMO2,Cercocarpus montanus,true mountain mahogany,5,NA,15697452,67423184
MUMO,Muhlenbergia montana,mountain muhly,5,NA,15697452,67423185
2SD,,other  shrubs,10,NA,15697452,67423186
HECOC8,Hesperostipa comata ssp. comata,needleandthread,5,NA,15697452,67423187
CAREX,Carex,sedge,5,NA,15697453,67423188
CERCO,Cercocarpus,mountain mahogany,10,NA,15697453,67423189
FEAR2,Festuca arizonica,Arizona fescue,20,NA,15697453,67423190
MUMO,Muhlenbergia montana,mountain muhly,15,NA,15697453,67423191
RIBES,Ribes,currant,5,NA,15697453,67423192
FRAGA,Fragaria,strawberry,NA,NA,15697453,67423193
BLTR,Blepharoneuron tricholepis,pine dropseed,10,NA,15697455,67423194
CEMO2,Cercocarpus montanus,true mountain mahogany,5,NA,15697455,67423195
MUMO,Muhlenbergia montana,mountain muhly,5,NA,15697455,67423196
2SD,,other  shrubs,10,NA,15697455,67423197
HECOC8,Hesperostipa comata ssp. comata,needleandthread,5,NA,15697455,67423198
2SD,,other  shrubs,10,NA,15697524,67423558
HECOC8,Hesperostipa comata ssp. comata,needleandthread,5,NA,15697524,67423559
BLTR,Blepharoneuron tricholepis,pine dropseed,10,NA,15697524,67423560
CEMO2,Cercocarpus montanus,true mountain mahogany,5,NA,15697524,67423561
MUMO,Muhlenbergia montana,mountain muhly,5,NA,15697524,67423562
CAREX,Carex,sedge,5,NA,15697526,67423563
CERCO,Cercocarpus,mountain mahogany,10,NA,15697526,67423564
FEAR2,Festuca arizonica,Arizona fescue,20,NA,15697526,67423565
MUMO,Muhlenbergia montana,mountain muhly,15,NA,15697526,67423566
RIBES,Ribes,currant,5,NA,15697526,67423567
FRAGA,Fragaria,strawberry,NA,NA,15697526,67423568
BLTR,Blepharoneuron tricholepis,pine dropseed,10,NA,15697527,67423569
CEMO2,Cercocarpus montanus,true mountain mahogany,5,NA,15697527,67423570
MUMO,Muhlenbergia montana,mountain muhly,5,NA,15697527,67423571
2SD,,other  shrubs,10,NA,15697527,67423572
HECOC8,Hesperostipa comata ssp. comata,needleandthread,5,NA,15697527,67423573
CAREX,Carex,sedge,10,NA,15697495,67423422
FEAR2,Festuca arizonica,Arizona fescue,20,NA,15697495,67423423
POA,Poa,bluegrass,20,NA,15697495,67423424
RIBES,Ribes,currant,5,NA,15697495,67423425
SYMPH,Symphoricarpos,snowberry,5,NA,15697495,67423426
ARUV,Arctostaphylos uva-ursi,kinnikinnick,NA,NA,15697495,67423427
JUCO6,Juniperus communis,common juniper,NA,NA,15697495,67423428
CAREX,Carex,sedge,5,NA,15697496,67423429
CERCO,Cercocarpus,mountain mahogany,10,NA,15697496,67423430
FEAR2,Festuca arizonica,Arizona fescue,20,NA,15697496,67423431
MUMO,Muhlenbergia montana,mountain muhly,15,NA,15697496,67423432
RIBES,Ribes,currant,5,NA,15697496,67423433
FRAGA,Fragaria,strawberry,NA,NA,15697496,67423434
BLTR,Blepharoneuron tricholepis,pine dropseed,10,NA,15697497,67423435
CEMO2,Cercocarpus montanus,true mountain mahogany,5,NA,15697497,67423436
MUMO,Muhlenbergia montana,mountain muhly,5,NA,15697497,67423437
2SD,,other  shrubs,10,NA,15697497,67423438
HECOC8,Hesperostipa comata ssp. comata,needleandthread,5,NA,15697497,67423439
BLTR,Blepharoneuron tricholepis,pine dropseed,10,NA,15697498,67423440
CEMO2,Cercocarpus montanus,true mountain mahogany,5,NA,15697498,67423441
MUMO,Muhlenbergia montana,mountain muhly,5,NA,15697498,67423442
2SD,,other  shrubs,10,NA,15697498,67423443
HECOC8,Hesperostipa comata ssp. comata,needleandthread,5,NA,15697498,67423444
BLTR,Blepharoneuron tricholepis,pine dropseed,10,NA,15697499,67423445
BRMA4,Bromus marginatus,mountain brome,5,NA,15697499,67423446
FEAR2,Festuca arizonica,Arizona fescue,15,NA,15697499,67423447
MUMO,Muhlenbergia montana,mountain muhly,10,NA,15697499,67423448
CAREX,Carex,sedge,5,NA,15697425,67423056
CERCO,Cercocarpus,mountain mahogany,10,NA,15697425,67423057
FEAR2,Festuca arizonica,Arizona fescue,20,NA,15697425,67423058
MUMO,Muhlenbergia montana,mountain muhly,15,NA,15697425,67423059
RIBES,Ribes,currant,5,NA,15697425,67423060
FRAGA,Fragaria,strawberry,NA,NA,15697425,67423061
MUMO,Muhlenbergia montana,mountain muhly,5,NA,15697426,67423062
2SD,,other  shrubs,10,NA,15697426,67423063
HECOC8,Hesperostipa comata ssp. comata,needleandthread,5,NA,15697426,67423064
BLTR,Blepharoneuron tricholepis,pine dropseed,10,NA,15697426,67423065
CEMO2,Cercocarpus montanus,true mountain mahogany,5,NA,15697426,67423066
ARUV,Arctostaphylos uva-ursi,kinnikinnick,NA,NA,15697428,67423067
JUCO6,Juniperus communis,common juniper,NA,NA,15697428,67423068
CAREX,Carex,sedge,10,NA,15697428,67423069
FEAR2,Festuca arizonica,Arizona fescue,20,NA,15697428,67423070
POA,Poa,bluegrass,20,NA,15697428,67423071
RIBES,Ribes,currant,5,NA,15697428,67423072
SYMPH,Symphoricarpos,snowberry,5,NA,15697428,67423073
BLTR,Blepharoneuron tricholepis,pine dropseed,10,NA,15697429,67423074
CEMO2,Cercocarpus montanus,true mountain mahogany,5,NA,15697429,67423075
MUMO,Muhlenbergia montana,mountain muhly,5,NA,15697429,67423076
2SD,,other  shrubs,10,NA,15697429,67423077
HECOC8,Hesperostipa comata ssp. comata,needleandthread,5,NA,15697429,67423078
BLTR,Blepharoneuron tricholepis,pine dropseed,10,NA,15697430,67423079
BRMA4,Bromus marginatus,mountain brome,5,NA,15697430,67423080
FEAR2,Festuca arizonica,Arizona fescue,15,NA,15697430,67423081
MUMO,Muhlenbergia montana,mountain muhly,10,NA,15697430,67423082
2SD,,other  shrubs,10,NA,15697484,67423365
HECOC8,Hesperostipa comata ssp. comata,needleandthread,5,NA,15697484,67423366
BLTR,Blepharoneuron tricholepis,pine dropseed,10,NA,15697484,67423367
CEMO2,Cercocarpus montanus,true mountain mahogany,5,NA,15697484,67423368
MUMO,Muhlenbergia montana,mountain muhly,5,NA,15697484,67423369
BLTR,Blepharoneuron tricholepis,pine dropseed,10,NA,15697485,67423370
CEMO2,Cercocarpus montanus,true mountain mahogany,5,NA,15697485,67423371
MUMO,Muhlenbergia montana,mountain muhly,5,NA,15697485,67423372
2SD,,other  shrubs,10,NA,15697485,67423373
HECOC8,Hesperostipa comata ssp. comata,needleandthread,5,NA,15697485,67423374
CAREX,Carex,sedge,5,NA,15697486,67423375
CERCO,Cercocarpus,mountain mahogany,10,NA,15697486,67423376
FEAR2,Festuca arizonica,Arizona fescue,20,NA,15697486,67423377
MUMO,Muhlenbergia montana,mountain muhly,15,NA,15697486,67423378
RIBES,Ribes,currant,5,NA,15697486,67423379
FRAGA,Fragaria,strawberry,NA,NA,15697486,67423380
BLTR,Blepharoneuron tricholepis,pine dropseed,10,NA,15697385,67422874
CEMO2,Cercocarpus montanus,true mountain mahogany,5,NA,15697385,67422875
MUMO,Muhlenbergia montana,mountain muhly,5,NA,15697385,67422876
2SD,,other  shrubs,10,NA,15697385,67422877
HECOC8,Hesperostipa comata ssp. comata,needleandthread,5,NA,15697385,67422878
CAREX,Carex,sedge,5,NA,15697386,67422879
CERCO,Cercocarpus,mountain mahogany,10,NA,15697386,67422880
FEAR2,Festuca arizonica,Arizona fescue,20,NA,15697386,67422881
MUMO,Muhlenbergia montana,mountain muhly,15,NA,15697386,67422882
RIBES,Ribes,currant,5,NA,15697386,67422883
FRAGA,Fragaria,strawberry,NA,NA,15697386,67422884
BLTR,Blepharoneuron tricholepis,pine dropseed,10,NA,15697388,67422885
CEMO2,Cercocarpus montanus,true mountain mahogany,5,NA,15697388,67422886
MUMO,Muhlenbergia montana,mountain muhly,5,NA,15697388,67422887
2SD,,other  shrubs,10,NA,15697388,67422888
HECOC8,Hesperostipa comata ssp. comata,needleandthread,5,NA,15697388,67422889
BRMA4,Bromus marginatus,mountain brome,5,NA,15697448,67423167
FEAR2,Festuca arizonica,Arizona fescue,15,NA,15697448,67423168
MUMO,Muhlenbergia montana,mountain muhly,10,NA,15697448,67423169
BLTR,Blepharoneuron tricholepis,pine dropseed,10,NA,15697448,67423170
BLTR,Blepharoneuron tricholepis,pine dropseed,10,NA,15697449,67423171
BRMA4,Bromus marginatus,mountain brome,5,NA,15697449,67423172
FEAR2,Festuca arizonica,Arizona fescue,15,NA,15697449,67423173
MUMO,Muhlenbergia montana,mountain muhly,10,NA,15697449,67423174
BLTR,Blepharoneuron tricholepis,pine dropseed,10,NA,15697450,67423175
BRMA4,Bromus marginatus,mountain brome,5,NA,15697450,67423176
FEAR2,Festuca arizonica,Arizona fescue,15,NA,15697450,67423177
MUMO,Muhlenbergia montana,mountain muhly,10,NA,15697450,67423178
BLTR,Blepharoneuron tricholepis,pine dropseed,10,NA,15697451,67423179
BRMA4,Bromus marginatus,mountain brome,5,NA,15697451,67423180
FEAR2,Festuca arizonica,Arizona fescue,15,NA,15697451,67423181
MUMO,Muhlenbergia montana,mountain muhly,10,NA,15697451,67423182
BLTR,Blepharoneuron tricholepis,pine dropseed,10,NA,15697476,67423331
BRMA4,Bromus marginatus,mountain brome,5,NA,15697476,67423332
FEAR2,Festuca arizonica,Arizona fescue,15,NA,15697476,67423333
MUMO,Muhlenbergia montana,mountain muhly,10,NA,15697476,67423334
BLTR,Blepharoneuron tricholepis,pine dropseed,10,NA,15697477,67423335
BRMA4,Bromus marginatus,mountain brome,5,NA,15697477,67423336
FEAR2,Festuca arizonica,Arizona fescue,15,NA,15697477,67423337
MUMO,Muhlenbergia montana,mountain muhly,10,NA,15697477,67423338
BLTR,Blepharoneuron tricholepis,pine dropseed,10,NA,15697478,67423339
BRMA4,Bromus marginatus,mountain brome,5,NA,15697478,67423340
FEAR2,Festuca arizonica,Arizona fescue,15,NA,15697478,67423341
MUMO,Muhlenbergia montana,mountain muhly,10,NA,15697478,67423342
BLTR,Blepharoneuron tricholepis,pine dropseed,10,NA,15697479,67423343
BRMA4,Bromus marginatus,mountain brome,5,NA,15697479,67423344
FEAR2,Festuca arizonica,Arizona fescue,15,NA,15697479,67423345
MUMO,Muhlenbergia montana,mountain muhly,10,NA,15697479,67423346
