hzname,desgndisc,desgnmaster,desgnmasterprime,desgnvert,hzdept.l,hzdept.r,hzdept.h,hzdepb.l,hzdepb.r,hzdepb.h,hzthk.l,hzthk.r,hzthk.h,fraggt10.l,fraggt10.r,fraggt10.h,frag3to10.l,frag3to10.r,frag3to10.h,sieveno4.l,sieveno4.r,sieveno4.h,sieveno10.l,sieveno10.r,sieveno10.h,sieveno40.l,sieveno40.r,sieveno40.h,sieveno200.l,sieveno200.r,sieveno200.h,sandtotal.l,sandtotal.r,sandtotal.h,sandvc.l,sandvc.r,sandvc.h,sandco.l,sandco.r,sandco.h,sandmed.l,sandmed.r,sandmed.h,sandfine.l,sandfine.r,sandfine.h,sandvf.l,sandvf.r,sandvf.h,silttotal.l,silttotal.r,silttotal.h,siltco.l,siltco.r,siltco.h,siltfine.l,siltfine.r,siltfine.h,claytotal.l,claytotal.r,claytotal.h,claysizedcarb.l,claysizedcarb.r,claysizedcarb.h,om.l,om.r,om.h,dbtenthbar.l,dbtenthbar.r,dbtenthbar.h,dbthirdbar.l,dbthirdbar.r,dbthirdbar.h,dbfifteenbar.l,dbfifteenbar.r,dbfifteenbar.h,dbovendry.l,dbovendry.r,dbovendry.h,partdensity,ksat.l,ksat.r,ksat.h,awc.l,awc.r,awc.h,wtenthbar.l,wtenthbar.r,wtenthbar.h,wthirdbar.l,wthirdbar.r,wthirdbar.h,wfifteenbar.l,wfifteenbar.r,wfifteenbar.h,wsatiated.l,wsatiated.r,wsatiated.h,lep.l,lep.r,lep.h,ll.l,ll.r,ll.h,pi.l,pi.r,pi.h,aashind.l,aashind.r,aashind.h,kwfact,kffact,caco3.l,caco3.r,caco3.h,gypsum.l,gypsum.r,gypsum.h,sar.l,sar.r,sar.h,ec.l,ec.r,ec.h,cec7.l,cec7.r,cec7.h,ecec.l,ecec.r,ecec.h,sumbases.l,sumbases.r,sumbases.h,ph1to1h2o.l,ph1to1h2o.r,ph1to1h2o.h,ph01mcacl2.l,ph01mcacl2.r,ph01mcacl2.h,freeiron.l,freeiron.r,freeiron.h,feoxalate.l,feoxalate.r,feoxalate.h,extracid.l,extracid.r,extracid.h,extral.l,extral.r,extral.h,aloxalate.l,aloxalate.r,aloxalate.h,pbray1.l,pbray1.r,pbray1.h,poxalate.l,poxalate.r,poxalate.h,ph2osoluble.l,ph2osoluble.r,ph2osoluble.h,ptotal.l,ptotal.r,ptotal.h,excavdifcl,excavdifms,cokey,chkey
R,NA,R,NA,NA,NA,89,NA,NA,99,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.42,0.92,1.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15697380,45496204
A,NA,A,NA,NA,NA,0,NA,NA,13,NA,NA,NA,NA,0,0,0,0,0,0,90,95,100,85,92.5,100,80,87.5,95,60,67.5,75,NA,39.2,NA,NA,3.5,NA,NA,5,NA,NA,6.8,NA,NA,12.3,NA,NA,11.6,NA,NA,37.3,NA,NA,NA,NA,NA,NA,NA,20,23.5,27,0,0,0,0,0.5,1,NA,NA,NA,1.35,1.4,1.45,NA,NA,NA,1.42,1.47,1.53,NA,4.23,9.17,14.11,0.14,0.16,0.17,NA,NA,NA,21.4,27.7,30.7,10.2,13.2,16.4,39,43,46,0,1.5,2.9,30,32.5,35,10,12.5,15,NA,NA,NA,0.37,0.37,0,0,0,0,0,0,0,0,0,0,0,0,15,20,25,NA,NA,NA,NA,NA,NA,6.1,6.7,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15697380,45496205
Bt,NA,B,NA,NA,NA,13,NA,NA,53,NA,NA,NA,NA,0,0,0,0,0,0,90,95,100,85,90,95,80,85,90,70,75,80,NA,29,NA,NA,2.7,NA,NA,3,NA,NA,5.5,NA,NA,9.8,NA,NA,8,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,35,40,45,0,0,0,0,0.5,1,NA,NA,NA,1.25,1.3,1.35,NA,NA,NA,1.44,1.49,1.56,NA,0.42,0.92,1.41,0.15,0.17,0.18,NA,NA,NA,23.6,28.8,39,16.7,20.5,24.1,43,46,49,3,4.5,5.9,40,45,50,20,22.5,25,NA,NA,NA,0.2,0.24,0,0,0,0,0,0,0,0,0,0,0,0,20,30,40,NA,NA,NA,NA,NA,NA,6.1,6.7,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15697380,45496206
Cr,NA,C,NA,NA,NA,53,NA,NA,89,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.42,0.92,1.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15697380,45496207
A1,NA,A,NA,1,NA,0,NA,NA,15,NA,NA,NA,NA,0,3,5,15,28,40,75,82.5,90,70,75,80,55,65,75,40,45,50,NA,43,NA,NA,4.2,NA,NA,5.8,NA,NA,7.6,NA,NA,13.3,NA,NA,12.1,NA,NA,39.5,NA,NA,NA,NA,NA,NA,NA,10,17.5,25,4,5,6,1,2,3,NA,NA,NA,1.2,1.25,1.3,NA,NA,NA,1.28,1.33,1.41,NA,4.251,9.21,14.17,0.09,0.11,0.12,NA,NA,NA,8.5,18.6,24.8,3.5,7.7,13,27,34,42,0,1.5,2.9,20,25,30,0,5,10,NA,NA,NA,0.15,0.28,15,28,40,0,0,0,0,0,0,0,0,0,5,12.5,20,NA,NA,NA,NA,NA,NA,7.4,7.9,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15697379,45496201
R,NA,R,NA,NA,NA,75,NA,NA,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.21,0.4233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15697379,45496202
A2,NA,A,NA,2,NA,15,NA,NA,75,NA,NA,NA,NA,0,3,5,20,40,60,35,47.5,60,30,40,50,20,32.5,45,15,25,35,NA,43,NA,NA,4.2,NA,NA,5.8,NA,NA,7.6,NA,NA,13.3,NA,NA,12.1,NA,NA,39.5,NA,NA,NA,NA,NA,NA,NA,10,17.5,25,4,6,8,1,2,3,NA,NA,NA,1.25,1.3,1.35,NA,NA,NA,1.41,1.46,1.62,NA,4.251,9.21,14.17,0.06,0.07,0.08,NA,NA,NA,2.9,10.2,17.7,1.2,4.3,9.5,NA,18,28,0,1.5,2.9,20,25,30,0,5,10,NA,NA,NA,0.1,0.37,20,35,50,0,0,0,0,0,0,0,0,0,1,8,15,NA,NA,NA,NA,NA,NA,7.4,7.9,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15697379,45496203
,NA,,NA,NA,NA,0,NA,NA,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.21,0.4233,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15697378,45496200
AC,NA,AC,NA,NA,NA,23,NA,NA,38,NA,NA,NA,NA,0,3,5,5,15,25,35,42.5,50,30,40,50,20,30,40,10,20,30,NA,65.3,NA,NA,4.3,NA,NA,13.2,NA,NA,16.4,NA,NA,19.8,NA,NA,11.6,NA,NA,23.2,NA,NA,NA,NA,NA,NA,NA,5,11.5,18,0,0,0,2,3,4,NA,NA,NA,1.5,1.55,1.6,NA,NA,NA,1.66,1.71,1.87,NA,14.11,28.22,42.34,0.05,0.08,0.1,NA,NA,NA,3.5,9.7,15.3,2,5.4,10.6,11,17,24,0,1.5,2.9,15,17.5,20,0,2.5,5,NA,NA,NA,0.1,0.28,0,0,0,0,0,0,0,0,0,0,0,0,5,10,15,NA,NA,NA,NA,NA,NA,5.6,6.5,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15697393,45496254
Cr,NA,C,NA,NA,NA,38,NA,NA,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.42,7.26,14.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15697393,45496255
A1,NA,A,NA,1,NA,0,NA,NA,8,NA,NA,NA,NA,0,0,0,0,0,0,30,40,50,30,40,50,20,35,50,10,17.5,25,NA,84.3,NA,NA,0.7,NA,NA,10.7,NA,NA,28.8,NA,NA,34.2,NA,NA,9.9,NA,NA,4.2,NA,NA,NA,NA,NA,NA,NA,5,11.5,18,0,0,0,2,3,4,NA,NA,NA,1.3,1.35,1.4,NA,NA,NA,1.41,1.46,1.57,NA,14.11,28.22,42.34,0.05,0.06,0.08,5.9,14,18.3,4.9,11.5,16,2.6,6.1,10.5,20,25,31,0,1.5,2.9,15,17.5,20,0,2.5,5,NA,NA,NA,0.1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,1,2.3,3.6,NA,NA,NA,NA,NA,NA,5.6,6.5,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15697393,45496256
A2,NA,A,NA,2,NA,8,NA,NA,23,NA,NA,NA,NA,0,0,0,5,8,10,30,40,50,30,40,50,20,35,50,10,17.5,25,NA,65.3,NA,NA,4.3,NA,NA,13.2,NA,NA,16.4,NA,NA,19.8,NA,NA,11.6,NA,NA,23.2,NA,NA,NA,NA,NA,NA,NA,5,11.5,18,0,0,0,2,3,4,NA,NA,NA,1.3,1.35,1.4,NA,NA,NA,1.42,1.47,1.58,NA,14.11,28.22,42.34,0.05,0.06,0.08,NA,NA,NA,4.4,10.6,15.2,2.3,5.5,9.7,18,24,30,0,1.5,2.9,15,17.5,20,0,2.5,5,NA,NA,NA,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,5,12.5,20,NA,NA,NA,NA,NA,NA,5.6,6.5,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15697393,45496257
Oi,NA,O,NA,NA,NA,0,NA,NA,3,NA,NA,NA,NA,0,0,0,0,3,5,100,100,100,100,100,100,NA,NA,NA,NA,NA,NA,NA,66.3,NA,NA,17.2,NA,NA,15.8,NA,NA,12.7,NA,NA,12.9,NA,NA,7.7,NA,NA,23.7,NA,NA,NA,NA,NA,NA,NA,5,10,15,0,0,0,70,85,95,NA,NA,NA,0.2,0.5,1,NA,NA,NA,NA,NA,NA,NA,100,300,600,0.15,0.3,0.45,NA,NA,NA,55.1,59.4,62,36.3,43.3,47.9,28,54,70,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0.5,2,50,60,90,30,40,60,NA,NA,NA,5.1,5.6,6,4.5,5.2,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15697392,45496250
