plantsym,plantsciname,plantcomname,siteindexbase,siteindex.l,siteindex.r,siteindex.h,fprod.l,fprod.r,fprod.h,cokey,cofprodkey
PIPO,Pinus ponderosa,ponderosa pine,NA,NA,55,NA,NA,43,NA,14875605,20701723
PIPO,Pinus ponderosa,ponderosa pine,NA,NA,53,NA,NA,43,NA,14875621,20701724
PSMEG,Pseudotsuga menziesii var. glauca,Rocky Mountain Douglas fir,NA,NA,49,NA,NA,43,NA,14875644,20701732
PIPO,Pinus ponderosa,ponderosa pine,NA,NA,40,NA,NA,29,NA,14875802,20701731
PIPO,Pinus ponderosa,ponderosa pine,NA,NA,45,NA,NA,29,NA,15697501,21932337
RHTR,Rhus trilobata,skunkbush sumac,NA,NA,NA,NA,NA,NA,NA,15697501,21932338
QUGA,Quercus gambelii,Gambel oak,NA,NA,NA,NA,NA,NA,NA,15697501,21932339
JUMO,Juniperus monosperma,oneseed juniper,NA,NA,NA,NA,NA,NA,NA,15697501,21932340
CERCO,Cercocarpus,mountain mahogany,NA,NA,NA,NA,NA,NA,NA,15697501,21932341
PIPO,Pinus ponderosa,ponderosa pine,NA,NA,45,NA,NA,29,NA,15697502,21932342
RHTR,Rhus trilobata,skunkbush sumac,NA,NA,NA,NA,NA,NA,NA,15697502,21932343
QUGA,Quercus gambelii,Gambel oak,NA,NA,NA,NA,NA,NA,NA,15697502,21932344
JUMO,Juniperus monosperma,oneseed juniper,NA,NA,NA,NA,NA,NA,NA,15697502,21932345
CERCO,Cercocarpus,mountain mahogany,NA,NA,NA,NA,NA,NA,NA,15697502,21932346
PIPO,Pinus ponderosa,ponderosa pine,NA,NA,40,NA,NA,30,NA,15697504,21932347
PSMEG,Pseudotsuga menziesii var. glauca,Rocky Mountain Douglas-fir,NA,NA,NA,NA,NA,NA,NA,15697504,21932348
QUGA,Quercus gambelii,Gambel oak,NA,NA,NA,NA,NA,NA,NA,15697504,21932349
CERCO,Cercocarpus,mountain mahogany,NA,NA,NA,NA,NA,NA,NA,15697504,21932350
PIPO,Pinus ponderosa,ponderosa pine,NA,NA,45,NA,NA,29,NA,15697505,21932351
JUMO,Juniperus monosperma,oneseed juniper,NA,NA,NA,NA,NA,NA,NA,15697505,21932352
POTR5,Populus tremuloides,quaking aspen,NA,NA,65,NA,NA,36,NA,15697456,21932214
PSMEG,Pseudotsuga menziesii var. glauca,Rocky Mountain Douglas-fir,NA,NA,65,NA,NA,0,NA,15697456,21932215
PIPO,Pinus ponderosa,ponderosa pine,NA,NA,65,NA,NA,57,NA,15697456,21932216
PIPO,Pinus ponderosa,ponderosa pine,NA,NA,40,NA,NA,29,NA,15697457,21932217
POTR5,Populus tremuloides,quaking aspen,NA,NA,NA,NA,NA,NA,NA,15697457,21932218
PSMEG,Pseudotsuga menziesii var. glauca,Rocky Mountain Douglas-fir,NA,NA,NA,NA,NA,NA,NA,15697457,21932219
JUCO6,Juniperus communis,common juniper,NA,NA,NA,NA,NA,29,NA,15697457,21932220
ARUV,Arctostaphylos uva-ursi,kinnikinnick,NA,NA,NA,NA,NA,NA,NA,15697457,21932221
POTR5,Populus tremuloides,quaking aspen,NA,NA,65,NA,NA,36,NA,15697467,21932230
PSMEG,Pseudotsuga menziesii var. glauca,Rocky Mountain Douglas-fir,NA,NA,65,NA,NA,0,NA,15697467,21932231
PIPO,Pinus ponderosa,ponderosa pine,NA,NA,65,NA,NA,57,NA,15697467,21932232
QUGA,Quercus gambelii,Gambel oak,NA,NA,NA,NA,NA,NA,NA,15697467,21932233
PIFL2,Pinus flexilis,limber pine,NA,NA,NA,NA,NA,NA,NA,15697435,21932149
PICO,Pinus contorta,lodgepole pine,NA,NA,NA,NA,NA,NA,NA,15697435,21932150
PSMEG,Pseudotsuga menziesii var. glauca,Rocky Mountain Douglas-fir,NA,NA,40,NA,NA,24,NA,15697435,21932151
POTR5,Populus tremuloides,quaking aspen,NA,NA,NA,NA,NA,NA,NA,15697435,21932152
ARUV,Arctostaphylos uva-ursi,kinnikinnick,NA,NA,NA,NA,NA,NA,NA,15697435,21932153
POTR5,Populus tremuloides,quaking aspen,NA,NA,NA,NA,NA,NA,NA,15697436,21932154
PIEN,Picea engelmannii,Engelmann spruce,NA,NA,40,NA,NA,26,NA,15697436,21932155
PSMEG,Pseudotsuga menziesii var. glauca,Rocky Mountain Douglas-fir,NA,NA,40,NA,NA,20,NA,15697436,21932156
PIFL2,Pinus flexilis,limber pine,NA,NA,NA,NA,NA,0,NA,15697436,21932157
PICO,Pinus contorta,lodgepole pine,NA,NA,NA,NA,NA,NA,NA,15697437,21932158
PIEN,Picea engelmannii,Engelmann spruce,NA,NA,70,NA,NA,60,NA,15697437,21932159
PIFL2,Pinus flexilis,limber pine,NA,NA,NA,NA,NA,41,NA,15697437,21932160
POTR5,Populus tremuloides,quaking aspen,NA,NA,NA,NA,NA,0,NA,15697437,21932161
PSMEG,Pseudotsuga menziesii var. glauca,Rocky Mountain Douglas-fir,NA,NA,50,NA,NA,0,NA,15697437,21932162
PIPO,Pinus ponderosa,ponderosa pine,NA,NA,50,NA,NA,39,NA,15697474,21932246
PIPO,Pinus ponderosa,ponderosa pine,NA,NA,50,NA,NA,39,NA,15697360,21931931
PIPO,Pinus ponderosa,ponderosa pine,NA,NA,40,NA,NA,30,NA,15697361,21931932
PSMEG,Pseudotsuga menziesii var. glauca,Rocky Mountain Douglas-fir,NA,NA,NA,NA,NA,NA,NA,15697361,21931933
QUGA,Quercus gambelii,Gambel oak,NA,NA,NA,NA,NA,NA,NA,15697361,21931934
CERCO,Cercocarpus,mountain mahogany,NA,NA,NA,NA,NA,NA,NA,15697361,21931935
PSMEG,Pseudotsuga menziesii var. glauca,Rocky Mountain Douglas-fir,NA,NA,45,NA,NA,32,NA,15697389,21932012
ARUV,Arctostaphylos uva-ursi,kinnikinnick,NA,NA,NA,NA,NA,NA,NA,15697389,21932013
PIPO,Pinus ponderosa,ponderosa pine,NA,NA,NA,NA,NA,NA,NA,15697389,21932014
QUGA,Quercus gambelii,Gambel oak,NA,NA,NA,NA,NA,32,NA,15697389,21932015
POTR5,Populus tremuloides,quaking aspen,NA,NA,NA,NA,NA,NA,NA,15697389,21932016
CERCO,Cercocarpus,mountain mahogany,NA,NA,NA,NA,NA,NA,NA,15697389,21932017
PICO,Pinus contorta,lodgepole pine,NA,NA,NA,NA,NA,NA,NA,15697391,21932018
PSMEG,Pseudotsuga menziesii var. glauca,Rocky Mountain Douglas-fir,NA,NA,40,NA,NA,24,NA,15697391,21932019
POTR5,Populus tremuloides,quaking aspen,NA,NA,NA,NA,NA,NA,NA,15697391,21932020
PIPO,Pinus ponderosa,ponderosa pine,NA,NA,40,NA,NA,29,NA,15697392,21932021
POTR5,Populus tremuloides,quaking aspen,NA,NA,NA,NA,NA,NA,NA,15697392,21932022
PSMEG,Pseudotsuga menziesii var. glauca,Rocky Mountain Douglas-fir,NA,NA,NA,NA,NA,NA,NA,15697392,21932023
JUCO6,Juniperus communis,common juniper,NA,NA,NA,NA,NA,29,NA,15697392,21932024
ARUV,Arctostaphylos uva-ursi,kinnikinnick,NA,NA,NA,NA,NA,NA,NA,15697392,21932025
PIEN,Picea engelmannii,Engelmann spruce,NA,NA,NA,NA,NA,23,NA,15697393,21932026
JUCO6,Juniperus communis,common juniper,NA,NA,NA,NA,NA,NA,NA,15697393,21932027
ARUV,Arctostaphylos uva-ursi,kinnikinnick,NA,NA,NA,NA,NA,NA,NA,15697393,21932028
ABLA,Abies lasiocarpa,subalpine fir,NA,NA,NA,NA,NA,NA,NA,15697393,21932029
PIFL2,Pinus flexilis,limber pine,NA,NA,NA,NA,NA,0,NA,15697393,21932030
POTR5,Populus tremuloides,quaking aspen,NA,NA,50,NA,NA,29,NA,15697393,21932031
PIPO,Pinus ponderosa,ponderosa pine,NA,NA,40,NA,NA,30,NA,15697379,21931979
PSMEG,Pseudotsuga menziesii var. glauca,Rocky Mountain Douglas-fir,NA,NA,NA,NA,NA,NA,NA,15697379,21931980
QUGA,Quercus gambelii,Gambel oak,NA,NA,NA,NA,NA,NA,NA,15697379,21931981
CERCO,Cercocarpus,mountain mahogany,NA,NA,NA,NA,NA,NA,NA,15697379,21931982
PIPO,Pinus ponderosa,ponderosa pine,NA,NA,45,NA,NA,29,NA,15697380,21931983
RHTR,Rhus trilobata,skunkbush sumac,NA,NA,NA,NA,NA,NA,NA,15697380,21931984
QUGA,Quercus gambelii,Gambel oak,NA,NA,NA,NA,NA,NA,NA,15697380,21931985
JUMO,Juniperus monosperma,oneseed juniper,NA,NA,NA,NA,NA,NA,NA,15697380,21931986
CERCO,Cercocarpus,mountain mahogany,NA,NA,NA,NA,NA,NA,NA,15697380,21931987
PIPO,Pinus ponderosa,ponderosa pine,NA,NA,40,NA,NA,30,NA,15697381,21931988
PSMEG,Pseudotsuga menziesii var. glauca,Rocky Mountain Douglas-fir,NA,NA,NA,NA,NA,NA,NA,15697381,21931989
PIPO,Pinus ponderosa,ponderosa pine,NA,NA,40,NA,NA,30,NA,15697372,21931965
PSMEG,Pseudotsuga menziesii var. glauca,Rocky Mountain Douglas-fir,NA,NA,NA,NA,NA,NA,NA,15697372,21931966
PIPO,Pinus ponderosa,ponderosa pine,NA,NA,40,NA,NA,30,NA,15697373,21931967
PSMEG,Pseudotsuga menziesii var. glauca,Rocky Mountain Douglas-fir,NA,NA,NA,NA,NA,NA,NA,15697373,21931968
QUGA,Quercus gambelii,Gambel oak,NA,NA,NA,NA,NA,NA,NA,15697373,21931969
CERCO,Cercocarpus,mountain mahogany,NA,NA,NA,NA,NA,NA,NA,15697373,21931970
PIPO,Pinus ponderosa,ponderosa pine,NA,NA,40,NA,NA,30,NA,15697397,21932032
PSMEG,Pseudotsuga menziesii var. glauca,Rocky Mountain Douglas-fir,NA,NA,40,NA,NA,0,NA,15697397,21932033
PSMEG,Pseudotsuga menziesii var. glauca,Rocky Mountain Douglas-fir,NA,NA,NA,NA,NA,0,NA,15697399,21932034
PIPO,Pinus ponderosa,ponderosa pine,NA,NA,40,NA,NA,30,NA,15697399,21932035
PICO,Pinus contorta,lodgepole pine,NA,NA,NA,NA,NA,NA,NA,15697400,21932036
PSMEG,Pseudotsuga menziesii var. glauca,Rocky Mountain Douglas-fir,NA,NA,40,NA,NA,24,NA,15697400,21932037
POTR5,Populus tremuloides,quaking aspen,NA,NA,NA,NA,NA,NA,NA,15697400,21932038
ARUV,Arctostaphylos uva-ursi,kinnikinnick,NA,NA,NA,NA,NA,NA,NA,15697400,21932039
PIFL2,Pinus flexilis,limber pine,NA,NA,NA,NA,NA,NA,NA,15697400,21932040
PIPO,Pinus ponderosa,ponderosa pine,NA,NA,40,NA,NA,29,NA,15697452,21932202
POTR5,Populus tremuloides,quaking aspen,NA,NA,NA,NA,NA,NA,NA,15697452,21932203
PSMEG,Pseudotsuga menziesii var. glauca,Rocky Mountain Douglas-fir,NA,NA,NA,NA,NA,NA,NA,15697452,21932204
POTR5,Populus tremuloides,quaking aspen,NA,NA,65,NA,NA,36,NA,15697453,21932205
PSMEG,Pseudotsuga menziesii var. glauca,Rocky Mountain Douglas-fir,NA,NA,65,NA,NA,0,NA,15697453,21932206
PIPO,Pinus ponderosa,ponderosa pine,NA,NA,65,NA,NA,57,NA,15697453,21932207
QUGA,Quercus gambelii,Gambel oak,NA,NA,NA,NA,NA,NA,NA,15697453,21932208
PIPO,Pinus ponderosa,ponderosa pine,NA,NA,40,NA,NA,29,NA,15697455,21932209
POTR5,Populus tremuloides,quaking aspen,NA,NA,NA,NA,NA,NA,NA,15697455,21932210
PSMEG,Pseudotsuga menziesii var. glauca,Rocky Mountain Douglas-fir,NA,NA,NA,NA,NA,NA,NA,15697455,21932211
JUCO6,Juniperus communis,common juniper,NA,NA,NA,NA,NA,29,NA,15697455,21932212
ARUV,Arctostaphylos uva-ursi,kinnikinnick,NA,NA,NA,NA,NA,NA,NA,15697455,21932213
PIPO,Pinus ponderosa,ponderosa pine,NA,NA,40,NA,NA,29,NA,15697524,21932397
POTR5,Populus tremuloides,quaking aspen,NA,NA,NA,NA,NA,NA,NA,15697524,21932398
PSMEG,Pseudotsuga menziesii var. glauca,Rocky Mountain Douglas-fir,NA,NA,NA,NA,NA,NA,NA,15697524,21932399
JUCO6,Juniperus communis,common juniper,NA,NA,NA,NA,NA,29,NA,15697524,21932400
ARUV,Arctostaphylos uva-ursi,kinnikinnick,NA,NA,NA,NA,NA,NA,NA,15697524,21932401
POTR5,Populus tremuloides,quaking aspen,NA,NA,65,NA,NA,36,NA,15697526,21932402
PSMEG,Pseudotsuga menziesii var. glauca,Rocky Mountain Douglas-fir,NA,NA,65,NA,NA,0,NA,15697526,21932403
PIPO,Pinus ponderosa,ponderosa pine,NA,NA,65,NA,NA,57,NA,15697526,21932404
QUGA,Quercus gambelii,Gambel oak,NA,NA,NA,NA,NA,NA,NA,15697526,21932405
PIPO,Pinus ponderosa,ponderosa pine,NA,NA,40,NA,NA,29,NA,15697527,21932406
POTR5,Populus tremuloides,quaking aspen,NA,NA,NA,NA,NA,NA,NA,15697527,21932407
PSMEG,Pseudotsuga menziesii var. glauca,Rocky Mountain Douglas-fir,NA,NA,NA,NA,NA,NA,NA,15697527,21932408
POTR5,Populus tremuloides,quaking aspen,NA,NA,55,NA,NA,29,NA,15697495,21932316
PIPO,Pinus ponderosa,ponderosa pine,NA,NA,NA,NA,NA,0,NA,15697495,21932317
PSMEG,Pseudotsuga menziesii var. glauca,Rocky Mountain Douglas-fir,NA,NA,45,NA,NA,30,NA,15697495,21932318
POTR5,Populus tremuloides,quaking aspen,NA,NA,65,NA,NA,36,NA,15697496,21932319
PSMEG,Pseudotsuga menziesii var. glauca,Rocky Mountain Douglas-fir,NA,NA,65,NA,NA,0,NA,15697496,21932320
PIPO,Pinus ponderosa,ponderosa pine,NA,NA,65,NA,NA,57,NA,15697496,21932321
QUGA,Quercus gambelii,Gambel oak,NA,NA,NA,NA,NA,NA,NA,15697496,21932322
PIPO,Pinus ponderosa,ponderosa pine,NA,NA,40,NA,NA,29,NA,15697497,21932323
POTR5,Populus tremuloides,quaking aspen,NA,NA,NA,NA,NA,NA,NA,15697497,21932324
PSMEG,Pseudotsuga menziesii var. glauca,Rocky Mountain Douglas-fir,NA,NA,NA,NA,NA,NA,NA,15697497,21932325
PIPO,Pinus ponderosa,ponderosa pine,NA,NA,40,NA,NA,29,NA,15697498,21932326
POTR5,Populus tremuloides,quaking aspen,NA,NA,NA,NA,NA,NA,NA,15697498,21932327
PSMEG,Pseudotsuga menziesii var. glauca,Rocky Mountain Douglas-fir,NA,NA,NA,NA,NA,NA,NA,15697498,21932328
JUCO6,Juniperus communis,common juniper,NA,NA,NA,NA,NA,29,NA,15697498,21932329
ARUV,Arctostaphylos uva-ursi,kinnikinnick,NA,NA,NA,NA,NA,NA,NA,15697498,21932330
PSMEG,Pseudotsuga menziesii var. glauca,Rocky Mountain Douglas-fir,NA,NA,45,NA,NA,32,NA,15697499,21932331
ARUV,Arctostaphylos uva-ursi,kinnikinnick,NA,NA,NA,NA,NA,NA,NA,15697499,21932332
PIPO,Pinus ponderosa,ponderosa pine,NA,NA,NA,NA,NA,NA,NA,15697499,21932333
QUGA,Quercus gambelii,Gambel oak,NA,NA,NA,NA,NA,32,NA,15697499,21932334
POTR5,Populus tremuloides,quaking aspen,NA,NA,NA,NA,NA,NA,NA,15697499,21932335
CERCO,Cercocarpus,mountain mahogany,NA,NA,NA,NA,NA,NA,NA,15697499,21932336
POTR5,Populus tremuloides,quaking aspen,NA,NA,65,NA,NA,36,NA,15697425,21932107
PSMEG,Pseudotsuga menziesii var. glauca,Rocky Mountain Douglas-fir,NA,NA,65,NA,NA,0,NA,15697425,21932108
PIPO,Pinus ponderosa,ponderosa pine,NA,NA,65,NA,NA,57,NA,15697425,21932109
QUGA,Quercus gambelii,Gambel oak,NA,NA,NA,NA,NA,NA,NA,15697425,21932110
PIPO,Pinus ponderosa,ponderosa pine,NA,NA,40,NA,NA,29,NA,15697426,21932111
POTR5,Populus tremuloides,quaking aspen,NA,NA,NA,NA,NA,NA,NA,15697426,21932112
PSMEG,Pseudotsuga menziesii var. glauca,Rocky Mountain Douglas-fir,NA,NA,NA,NA,NA,NA,NA,15697426,21932113
POTR5,Populus tremuloides,quaking aspen,NA,NA,55,NA,NA,29,NA,15697428,21932114
PIPO,Pinus ponderosa,ponderosa pine,NA,NA,NA,NA,NA,0,NA,15697428,21932115
PSMEG,Pseudotsuga menziesii var. glauca,Rocky Mountain Douglas-fir,NA,NA,45,NA,NA,30,NA,15697428,21932116
PIPO,Pinus ponderosa,ponderosa pine,NA,NA,40,NA,NA,29,NA,15697429,21932117
POTR5,Populus tremuloides,quaking aspen,NA,NA,NA,NA,NA,NA,NA,15697429,21932118
