soimoistdept.l,soimoistdept.r,soimoistdept.h,soimoistdepb.l,soimoistdepb.r,soimoistdepb.h,soimoiststat,comonthkey,cosoilmoistkey
15,31,46,52,58,76,Wet,156223050,95889689
15,31,46,52,58,76,Wet,156223052,95889690
15,31,46,52,58,76,Wet,156223053,95889691
15,31,46,52,58,76,Wet,156223054,95889692
15,31,46,52,58,76,Wet,156223057,95889693
15,31,46,52,58,76,Wet,156223058,95889694
15,31,46,52,58,76,Wet,156223059,95889695
0,0,0,183,183,183,Wet,156223062,95889696
0,0,0,183,183,183,Wet,156223064,95889697
0,0,0,183,183,183,Wet,156223065,95889698
0,0,0,183,183,183,Wet,156223066,95889699
0,0,0,183,183,183,Wet,156223069,95889700
0,0,0,183,183,183,Wet,156223070,95889701
0,0,0,183,183,183,Wet,156223071,95889702
15,31,46,52,58,76,Wet,156223074,95889703
15,31,46,52,58,76,Wet,156223076,95889704
15,31,46,52,58,76,Wet,156223077,95889705
15,31,46,52,58,76,Wet,156223078,95889706
15,31,46,52,58,76,Wet,156223081,95889707
15,31,46,52,58,76,Wet,156223082,95889708
15,31,46,52,58,76,Wet,156223083,95889709
0,0,0,183,183,183,Wet,156223098,95889710
0,0,0,183,183,183,Wet,156223100,95889711
0,0,0,183,183,183,Wet,156223101,95889712
0,0,0,183,183,183,Wet,156223102,95889713
0,0,0,183,183,183,Wet,156223105,95889714
0,0,0,183,183,183,Wet,156223106,95889715
0,0,0,183,183,183,Wet,156223107,95889716
0,15,30,15,24,30,Wet,156223110,95889717
0,15,30,15,24,30,Wet,156223112,95889718
0,15,30,15,24,30,Wet,156223113,95889719
0,15,30,15,24,30,Wet,156223114,95889720
0,15,30,15,24,30,Wet,156223117,95889721
0,0,0,183,183,183,Wet,156223122,95889722
0,0,0,183,183,183,Wet,156223124,95889723
0,0,0,183,183,183,Wet,156223125,95889724
0,0,0,183,183,183,Wet,156223126,95889725
0,0,0,183,183,183,Wet,156223129,95889726
0,0,0,183,183,183,Wet,156223130,95889727
0,0,0,183,183,183,Wet,156223131,95889728
0,15,30,15,24,30,Wet,156223134,95889729
0,15,30,15,24,30,Wet,156223136,95889730
0,15,30,15,24,30,Wet,156223137,95889731
0,15,30,15,24,30,Wet,156223138,95889732
0,15,30,15,24,30,Wet,156223141,95889733
0,0,0,183,183,183,Wet,156223158,95889734
0,0,0,183,183,183,Wet,156223160,95889735
0,0,0,183,183,183,Wet,156223161,95889736
0,0,0,183,183,183,Wet,156223162,95889737
0,0,0,183,183,183,Wet,156223165,95889738
0,0,0,183,183,183,Wet,156223166,95889739
0,0,0,183,183,183,Wet,156223167,95889740
0,38,76,52,55,76,Wet,156223206,95889762
0,38,76,52,55,76,Wet,156223208,95889763
0,38,76,52,55,76,Wet,156223209,95889764
0,38,76,52,55,76,Wet,156223210,95889765
0,38,76,52,55,76,Wet,156223213,95889766
0,38,76,52,55,76,Wet,156223214,95889767
0,38,76,52,55,76,Wet,156223215,95889768
0,0,0,183,183,183,Wet,156223218,95889769
0,0,0,183,183,183,Wet,156223220,95889770
0,0,0,183,183,183,Wet,156223221,95889771
0,0,0,183,183,183,Wet,156223222,95889772
0,0,0,183,183,183,Wet,156223225,95889773
0,0,0,183,183,183,Wet,156223226,95889774
0,0,0,183,183,183,Wet,156223227,95889775
0,0,0,183,183,183,Wet,156223231,95889776
0,0,0,183,183,183,Wet,156223232,95889777
0,0,0,183,183,183,Wet,156223233,95889778
0,0,0,183,183,183,Wet,156223236,95889779
0,0,0,183,183,183,Wet,156223238,95889780
0,0,0,183,183,183,Wet,156223239,95889781
0,0,0,183,183,183,Wet,156223240,95889782
NA,NA,NA,183,183,183,,156223242,95889783
0,0,0,0,15,30,,156223242,95889784
0,15,30,NA,NA,NA,Wet,156223242,95889785
NA,NA,NA,183,183,183,,156223244,95889786
0,0,0,0,15,30,,156223244,95889787
0,15,30,NA,NA,NA,Wet,156223244,95889788
NA,NA,NA,183,183,183,,156223245,95889789
0,0,0,0,15,30,,156223245,95889790
0,15,30,NA,NA,NA,Wet,156223245,95889791
NA,NA,NA,183,183,183,,156223246,95889792
0,0,0,0,15,30,,156223246,95889793
0,15,30,NA,NA,NA,Wet,156223246,95889794
NA,NA,NA,183,183,183,,156223249,95889795
0,0,0,0,15,30,,156223249,95889796
0,15,30,NA,NA,NA,Wet,156223249,95889797
0,38,76,52,55,76,Wet,156223254,95889798
0,38,76,52,55,76,Wet,156223256,95889799
0,38,76,52,55,76,Wet,156223257,95889800
0,38,76,52,55,76,Wet,156223258,95889801
0,38,76,52,55,76,Wet,156223261,95889802
0,38,76,52,55,76,Wet,156223262,95889803
0,38,76,52,55,76,Wet,156223263,95889804
0,0,0,183,183,183,Wet,156223278,95889805
0,0,0,183,183,183,Wet,156223280,95889806
0,0,0,183,183,183,Wet,156223281,95889807
0,0,0,183,183,183,Wet,156223282,95889808
0,0,0,183,183,183,Wet,156223285,95889809
0,0,0,183,183,183,Wet,156223286,95889810
0,0,0,183,183,183,Wet,156223287,95889811
NA,NA,NA,183,183,183,,156223290,95889812
0,0,0,0,15,30,,156223290,95889813
0,15,30,NA,NA,NA,Wet,156223290,95889814
NA,NA,NA,183,183,183,,156223292,95889815
0,0,0,0,15,30,,156223292,95889816
0,15,30,NA,NA,NA,Wet,156223292,95889817
NA,NA,NA,183,183,183,,156223293,95889818
0,0,0,0,15,30,,156223293,95889819
0,15,30,NA,NA,NA,Wet,156223293,95889820
NA,NA,NA,183,183,183,,156223294,95889821
0,0,0,0,15,30,,156223294,95889822
0,15,30,NA,NA,NA,Wet,156223294,95889823
NA,NA,NA,183,183,183,,156223297,95889824
0,0,0,0,15,30,,156223297,95889825
0,15,30,NA,NA,NA,Wet,156223297,95889826
NA,NA,NA,183,183,183,,156223326,95889827
0,0,0,0,15,30,,156223326,95889828
0,15,30,NA,NA,NA,Wet,156223326,95889829
NA,NA,NA,183,183,183,,156223328,95889830
0,0,0,0,15,30,,156223328,95889831
0,15,30,NA,NA,NA,Wet,156223328,95889832
NA,NA,NA,183,183,183,,156223329,95889833
0,0,0,0,15,30,,156223329,95889834
0,15,30,NA,NA,NA,Wet,156223329,95889835
NA,NA,NA,183,183,183,,156223330,95889836
0,0,0,0,15,30,,156223330,95889837
0,15,30,NA,NA,NA,Wet,156223330,95889838
NA,NA,NA,183,183,183,,156223333,95889839
0,0,0,0,15,30,,156223333,95889840
0,15,30,NA,NA,NA,Wet,156223333,95889841
0,31,61,183,183,183,Wet,156223482,95889842
0,31,61,183,183,183,Wet,156223483,95889843
0,31,61,183,183,183,Wet,156223484,95889844
0,31,61,183,183,183,Wet,156223485,95889845
0,31,61,183,183,183,Wet,156223486,95889846
0,31,61,183,183,183,Wet,156223487,95889847
0,31,61,183,183,183,Wet,156223488,95889848
0,31,61,183,183,183,Wet,156223489,95889849
0,31,61,183,183,183,Wet,156223490,95889850
0,31,61,183,183,183,Wet,156223491,95889851
0,31,61,183,183,183,Wet,156223492,95889852
0,31,61,183,183,183,Wet,156223493,95889853
30,46,61,35,51,76,Wet,156223818,95889858
30,46,61,35,51,76,Wet,156223820,95889859
30,46,61,35,51,76,Wet,156223821,95889860
30,46,61,35,51,76,Wet,156223822,95889861
30,46,61,35,51,76,Wet,156223825,95889862
NA,NA,NA,183,183,183,,156223842,95889863
0,0,0,0,15,30,,156223842,95889864
0,15,30,NA,NA,NA,Wet,156223842,95889865
NA,NA,NA,183,183,183,,156223844,95889866
0,0,0,0,15,30,,156223844,95889867
0,15,30,NA,NA,NA,Wet,156223844,95889868
NA,NA,NA,183,183,183,,156223845,95889869
0,0,0,0,15,30,,156223845,95889870
0,15,30,NA,NA,NA,Wet,156223845,95889871
NA,NA,NA,183,183,183,,156223846,95889872
0,0,0,0,15,30,,156223846,95889873
0,15,30,NA,NA,NA,Wet,156223846,95889874
NA,NA,NA,183,183,183,,156223849,95889875
0,0,0,0,15,30,,156223849,95889876
0,15,30,NA,NA,NA,Wet,156223849,95889877
0,8,15,46,46,61,Wet,156223914,95889940
0,8,15,46,46,61,Wet,156223916,95889941
0,8,15,46,46,61,Wet,156223917,95889942
0,8,15,46,46,61,Wet,156223918,95889943
0,8,15,46,46,61,Wet,156223921,95889944
0,8,15,46,46,61,Wet,156223922,95889945
0,8,15,46,46,61,Wet,156223923,95889946
0,0,0,183,183,183,Wet,156223926,95889947
0,0,0,183,183,183,Wet,156223928,95889948
0,0,0,183,183,183,Wet,156223929,95889949
0,0,0,183,183,183,Wet,156223930,95889950
0,0,0,183,183,183,Wet,156223933,95889951
0,0,0,183,183,183,Wet,156223934,95889952
0,0,0,183,183,183,Wet,156223935,95889953
0,0,0,183,183,183,Wet,156223938,95889954
0,0,0,183,183,183,Wet,156223939,95889955
0,0,0,183,183,183,Wet,156223942,95889956
0,0,0,183,183,183,Wet,156223943,95889957
0,0,0,183,183,183,Wet,156223944,95889958
0,0,0,183,183,183,Wet,156223947,95889959
0,0,0,183,183,183,Wet,156223949,95889960
NA,NA,NA,183,183,183,,156224610,95890170
0,0,0,0,8,15,,156224610,95890171
0,8,15,NA,NA,NA,Wet,156224610,95890172
NA,NA,NA,183,183,183,,156224612,95890173
0,0,0,0,8,15,,156224612,95890174
0,8,15,NA,NA,NA,Wet,156224612,95890175
NA,NA,NA,183,183,183,,156224613,95890176
0,0,0,0,8,15,,156224613,95890177
0,8,15,NA,NA,NA,Wet,156224613,95890178
NA,NA,NA,183,183,183,,156224614,95890179
0,0,0,0,8,15,,156224614,95890180
0,8,15,NA,NA,NA,Wet,156224614,95890181
NA,NA,NA,183,183,183,,156224617,95890182
0,0,0,0,8,15,,156224617,95890183
0,8,15,NA,NA,NA,Wet,156224617,95890184
NA,NA,NA,183,183,183,,156224618,95890185
0,0,0,0,8,15,,156224618,95890186
0,8,15,NA,NA,NA,Wet,156224618,95890187
NA,NA,NA,183,183,183,,156224619,95890188
0,0,0,0,8,15,,156224619,95890189
0,8,15,NA,NA,NA,Wet,156224619,95890190
0,31,61,183,183,183,Wet,156224622,95890191
0,31,61,183,183,183,Wet,156224623,95890192
0,31,61,183,183,183,Wet,156224624,95890193
0,31,61,183,183,183,Wet,156224625,95890194
0,31,61,183,183,183,Wet,156224626,95890195
0,31,61,183,183,183,Wet,156224627,95890196
0,31,61,183,183,183,Wet,156224628,95890197
0,31,61,183,183,183,Wet,156224629,95890198
0,31,61,183,183,183,Wet,156224630,95890199
0,31,61,183,183,183,Wet,156224631,95890200
0,31,61,183,183,183,Wet,156224632,95890201
0,31,61,183,183,183,Wet,156224633,95890202
0,31,61,183,183,183,Wet,156224802,95890215
0,31,61,183,183,183,Wet,156224803,95890216
0,31,61,183,183,183,Wet,156224804,95890217
0,31,61,183,183,183,Wet,156224805,95890218
0,31,61,183,183,183,Wet,156224806,95890219
0,31,61,183,183,183,Wet,156224807,95890220
0,31,61,183,183,183,Wet,156224808,95890221
0,31,61,183,183,183,Wet,156224809,95890222
0,31,61,183,183,183,Wet,156224810,95890223
0,31,61,183,183,183,Wet,156224811,95890224
0,31,61,183,183,183,Wet,156224812,95890225
0,31,61,183,183,183,Wet,156224813,95890226
46,61,76,183,183,183,Wet,156224982,95890227
46,61,76,183,183,183,Wet,156224984,95890228
46,61,76,183,183,183,Wet,156224985,95890229
46,61,76,183,183,183,Wet,156224986,95890230
46,61,76,183,183,183,Wet,156224989,95890231
46,61,76,183,183,183,Wet,156224990,95890232
46,61,76,183,183,183,Wet,156224991,95890233
0,0,0,183,183,183,Wet,156224994,95890234
0,0,0,183,183,183,Wet,156224996,95890235
0,0,0,183,183,183,Wet,156224997,95890236
0,0,0,183,183,183,Wet,156224998,95890237
0,0,0,183,183,183,Wet,156225001,95890238
0,0,0,183,183,183,Wet,156225002,95890239
0,0,0,183,183,183,Wet,156225003,95890240
46,61,76,183,183,183,Wet,156225006,95890241
46,61,76,183,183,183,Wet,156225008,95890242
46,61,76,183,183,183,Wet,156225009,95890243
46,61,76,183,183,183,Wet,156225010,95890244
46,61,76,183,183,183,Wet,156225013,95890245
46,61,76,183,183,183,Wet,156225014,95890246
46,61,76,183,183,183,Wet,156225015,95890247
0,0,0,183,183,183,Wet,156225030,95890248
0,0,0,183,183,183,Wet,156225032,95890249
0,0,0,183,183,183,Wet,156225033,95890250
0,0,0,183,183,183,Wet,156225034,95890251
0,0,0,183,183,183,Wet,156225037,95890252
0,0,0,183,183,183,Wet,156225038,95890253
0,0,0,183,183,183,Wet,156225039,95890254
0,0,46,183,183,183,Wet,156225042,95890255
0,0,46,183,183,183,Wet,156225044,95890256
0,0,46,183,183,183,Wet,156225045,95890257
0,0,46,183,183,183,Wet,156225046,95890258
0,0,46,183,183,183,Wet,156225049,95890259
0,0,46,183,183,183,Wet,156225050,95890260
0,0,46,183,183,183,Wet,156225051,95890261
0,0,0,183,183,183,Wet,156225054,95890262
0,0,0,183,183,183,Wet,156225056,95890263
0,0,0,183,183,183,Wet,156225057,95890264
0,0,0,183,183,183,Wet,156225058,95890265
0,0,0,183,183,183,Wet,156225061,95890266
0,0,0,183,183,183,Wet,156225062,95890267
0,0,0,183,183,183,Wet,156225063,95890268
0,0,0,183,183,183,Wet,156225066,95890269
0,0,0,183,183,183,Wet,156225068,95890270
0,0,0,183,183,183,Wet,156225069,95890271
0,0,0,183,183,183,Wet,156225070,95890272
0,0,0,183,183,183,Wet,156225073,95890273
0,0,0,183,183,183,Wet,156225074,95890274
0,0,0,183,183,183,Wet,156225075,95890275
0,0,46,183,183,183,Wet,156225078,95890276
0,0,46,183,183,183,Wet,156225080,95890277
0,0,46,183,183,183,Wet,156225081,95890278
0,0,46,183,183,183,Wet,156225082,95890279
0,0,46,183,183,183,Wet,156225085,95890280
0,0,46,183,183,183,Wet,156225086,95890281
0,0,46,183,183,183,Wet,156225087,95890282
0,0,0,183,183,183,Wet,156225090,95890283
0,0,0,183,183,183,Wet,156225092,95890284
0,0,0,183,183,183,Wet,156225093,95890285
0,0,0,183,183,183,Wet,156225094,95890286
0,0,0,183,183,183,Wet,156225097,95890287
0,0,0,183,183,183,Wet,156225098,95890288
0,0,0,183,183,183,Wet,156225099,95890289
0,0,0,183,183,183,Wet,156225102,95890290
0,0,0,183,183,183,Wet,156225104,95890291
0,0,0,183,183,183,Wet,156225105,95890292
0,0,0,183,183,183,Wet,156225106,95890293
0,0,0,183,183,183,Wet,156225109,95890294
0,0,0,183,183,183,Wet,156225110,95890295
0,0,0,183,183,183,Wet,156225111,95890296
0,0,0,183,183,183,Wet,156225114,95890297
0,0,0,183,183,183,Wet,156225116,95890298
0,0,0,183,183,183,Wet,156225117,95890299
0,0,0,183,183,183,Wet,156225118,95890300
0,0,0,183,183,183,Wet,156225121,95890301
0,0,0,183,183,183,Wet,156225122,95890302
0,0,0,183,183,183,Wet,156225123,95890303
61,76,91,183,183,183,Wet,156225163,95890304
61,76,91,183,183,183,Wet,156225164,95890305
61,76,91,183,183,183,Wet,156225165,95890306
61,76,91,183,183,183,Wet,156225168,95890307
61,76,91,183,183,183,Wet,156225170,95890308
61,76,91,183,183,183,Wet,156225171,95890309
61,76,91,183,183,183,Wet,156225172,95890310
NA,NA,NA,183,183,183,,156225174,95890311
0,0,0,0,31,61,,156225174,95890312
0,31,61,NA,NA,NA,Wet,156225174,95890313
NA,NA,NA,183,183,183,,156225176,95890314
0,0,0,0,31,61,,156225176,95890315
0,31,61,NA,NA,NA,Wet,156225176,95890316
NA,NA,NA,183,183,183,,156225177,95890317
0,0,0,0,31,61,,156225177,95890318
0,31,61,NA,NA,NA,Wet,156225177,95890319
NA,NA,NA,183,183,183,,156225178,95890320
0,0,0,0,31,61,,156225178,95890321
0,31,61,NA,NA,NA,Wet,156225178,95890322
NA,NA,NA,183,183,183,,156225181,95890323
0,0,0,0,31,61,,156225181,95890324
0,31,61,NA,NA,NA,Wet,156225181,95890325
NA,NA,NA,183,183,183,,156225182,95890326
0,0,0,0,31,61,,156225182,95890327
0,31,61,NA,NA,NA,Wet,156225182,95890328
NA,NA,NA,183,183,183,,156225183,95890329
0,0,0,0,31,61,,156225183,95890330
0,31,61,NA,NA,NA,Wet,156225183,95890331
0,0,46,183,183,183,Wet,156225210,95890332
0,0,46,183,183,183,Wet,156225212,95890333
0,0,46,183,183,183,Wet,156225213,95890334
0,0,46,183,183,183,Wet,156225214,95890335
0,0,46,183,183,183,Wet,156225217,95890336
0,0,46,183,183,183,Wet,156225218,95890337
0,0,46,183,183,183,Wet,156225219,95890338
0,0,0,183,183,183,Wet,156225222,95890339
0,0,0,183,183,183,Wet,156225224,95890340
0,0,0,183,183,183,Wet,156225225,95890341
0,0,0,183,183,183,Wet,156225226,95890342
0,0,0,183,183,183,Wet,156225229,95890343
0,0,0,183,183,183,Wet,156225230,95890344
0,0,0,183,183,183,Wet,156225231,95890345
0,0,0,183,183,183,Wet,156225234,95890346
0,0,0,183,183,183,Wet,156225236,95890347
0,0,0,183,183,183,Wet,156225237,95890348
0,0,0,183,183,183,Wet,156225238,95890349
0,0,0,183,183,183,Wet,156225241,95890350
0,0,0,183,183,183,Wet,156225242,95890351
0,0,0,183,183,183,Wet,156225243,95890352
0,0,0,183,183,183,Wet,156225246,95890353
0,0,0,183,183,183,Wet,156225248,95890354
0,0,0,183,183,183,Wet,156225249,95890355
0,0,0,183,183,183,Wet,156225250,95890356
0,0,0,183,183,183,Wet,156225253,95890357
0,0,0,183,183,183,Wet,156225254,95890358
0,0,0,183,183,183,Wet,156225255,95890359
0,0,0,183,183,183,Wet,156225259,95890360
0,0,0,183,183,183,Wet,156225260,95890361
0,0,0,183,183,183,Wet,156225261,95890362
0,0,0,183,183,183,Wet,156225264,95890363
0,0,0,183,183,183,Wet,156225266,95890364
0,0,0,183,183,183,Wet,156225267,95890365
0,0,0,183,183,183,Wet,156225268,95890366
0,0,0,183,183,183,Wet,156225270,95890367
